code,name
282330,BGF리테일
004840,DRB동일
017940,E1
012630,HDC
329180,HD현대중공업
234080,JW생명과학
092230,KPX홀딩스
011070,LG이노텍
051910,LG화학
035420,NAVER
400760,NH올원리츠
001380,SG글로벌
003570,SNT다이내믹스
077970,STX엔진
009450,경동나비엔
013580,계룡건설산업
005320,국동
014530,극동유화
024110,기업은행
025860,남해화학
006340,대원전선
001070,대한방직
006650,대한유화
001130,대한제분
003490,대한항공
069460,대호에이엘
102260,동성케미컬
018500,동원금속
030720,동원수산
014820,동원시스템즈
163560,동일고무벨트
454910,두산로보틱스
034020,두산에너빌리티
001530,디아이동일
210540,디와이파워
002760,보락
003850,보령
003000,부광약품
100220,비상교육
030790,비케이탑스
003960,사조대림
010140,삼성중공업
068290,삼성출판사
029780,삼성카드
003720,삼영
023000,삼원강재
007860,서연
017390,서울도시가스
021050,서원
004430,송원산업
126720,수산인더스트리
000480,시알홀딩스
016590,신대양제지
004170,신세계
002030,아세아
002310,아세아제지
122900,아이마켓코리아
003560,아이에이치큐
023960,에쓰씨엔지니어링
298690,에어부산
036570,엔씨소프트
004250,엔피씨
000670,영풍
271560,오리온
001800,오리온홀딩스
006980,우성
105840,우진
008600,윌비스
077500,유니퀘스트
025820,이구산업
006490,인스코비
007110,일신석재
348950,제이알글로벌리츠
088790,진도
003780,진양산업
011000,진원생명과학
000650,천일고속
033780,케이티앤지
357120,코람코라이프인프라리츠
021240,코웨이
036420,콘텐트리중앙
005740,크라운해태홀딩스
039490,키움증권
015890,태경산업
009410,태영건설
084870,티비에이치글로벌
009810,플레이그램
152550,한국ANKOR유전
123890,한국자산신탁
006200,한국전자홀딩스
023350,한국종합기술
008930,한미사이언스
003680,한성기업
004960,한신공영
018880,한온시스템
002220,한일철강
000370,한화손해보험
017800,현대엘리베이터
126560,현대퓨처넷
002460,화성산업
013520,화승코퍼레이션
005010,휴스틸
003280,흥아해운
139050,BF랩스
025440,DH오토웨어
900290,GRT
297890,HB솔루션
067630,HLB생명과학
047920,HLB제약
115450,HLB테라퓨틱스
060370,LS마린솔루션
417200,LS머트리얼즈
091340,S&K폴리텍
419530,SAMG엔터
184230,SGA솔루션즈
457940,SK증권제10호스팩
435870,SK증권제8호스팩
161570,THE MIDONG
032540,TJ미디어
052220,iMBC
078890,가온그룹
950190,고스트스튜디오
060480,국일신동
114450,그린생명과학
187790,나노
253590,네오셈
042420,네오위즈홀딩스
950220,네오이뮨텍
085910,네오티스
330860,네패스아크
069140,누리플랜
039560,다산네트웍스
068240,다원시스
036480,대성미생물
048910,대원미디어
099410,동방선기
033500,동성화인텍
131970,두산테스나
315640,딥노이드
042510,라온시큐어
090360,로보스타
439090,마녀공장
065650,메디프론
250060,모비스
059090,미코
214610,미코바이오메드
206640,바디텍메드
035620,바른손이앤에이
199730,바이오인프라
043150,바텍
177350,베셀
225530,보광산업
310210,보로노이
006910,보성파워텍
365900,브이씨
033560,블루콤
138580,비즈니스온
238200,비피도
419050,삼기이브이
468510,삼성스팩9호
024950,삼천리자전거
091580,상신이디피
027040,서울전자통신
065710,서호전기
043260,성호전자
340440,세림B&G
258830,세종메디칼
053450,세코닉스
321370,센서뷰
068940,셀피글로벌
032680,소프트센
236200,슈프리마
001000,신라섬유
036710,심텍홀딩스
050890,쏠리드
109670,씨싸이트
359090,씨엔알리서치
159010,아스플로
040910,아이씨디
052860,아이앤씨
038880,아이에이
175250,아이큐어
059120,아진엑스텍
297570,알로이스
117670,알파홀딩스
900100,애머릿지
238090,앤디포스
019990,에너토크
304360,에스바이오메딕스
298060,에스씨엠생명과학
065420,에스아이리소스
095910,에스에너지
351320,에스에이티이엔지
109610,에스와이
306040,에스제이그룹
288620,에스퓨얼셀
054630,에이디칩스
298380,에이비엘바이오
453860,에이에스텍
462020,에이치엠씨제6호스팩
200470,에이팩트
038870,에코바이오
101360,에코앤드림
086520,에코프로
064850,에프앤가이드
173940,에프엔씨엔터
083500,에프엔에스테크
054940,엑사이엔씨
333620,엔시스
451700,엔에이치스팩29호
073110,엘엠에스
019590,엠벤처투자
169330,엠브레인
352910,오비고
031510,오스템
244460,올리패스
251370,와이엠티
019210,와이지-원
101170,우림피티에스
307280,원바이오젠
012620,원일특강
382840,원준
095270,웨이브일렉트로
065950,웰크론
044340,위닉스
330350,위더스제약
065370,위세아이텍
299900,위지윅스튜디오
263770,유에스티
442130,유진스팩9호
084370,유진테크
072770,율호
296640,이노룰스
164060,이루다
078020,이베스트투자증권
080010,이상네트웍스
083470,이엠앤아이
088290,이원컴포텍
001840,이화공영
079950,인베니아
216050,인크로스
019540,일지테크
950140,잉글우드랩
049550,잉크테크
043910,자연과환경
289220,자이언트스텝
040420,정상제이엘에스
095700,제넥신
123330,제닉
159580,제로투세븐
079370,제우스
054950,제이브이엠
287410,제이시스메디칼
064800,젬백스링크
034940,조아제약
051980,중앙첨단소재
043610,지니뮤직
208350,지란지교시큐리티
285800,진영
094850,참좋은여행
004650,창해에탄올
047820,초록뱀미디어
317530,캐리소프트
105330,케이엔더블유
042040,케이피엠테크
274090,켄코아에어로스페이스
089010,켐트로닉스
049430,코메론
009730,코센
045970,코아시아
102940,코오롱생명과학
015710,코콤
405100,큐알티
044490,태웅
064520,테크엘
047310,파워로직스
049120,파인디앤씨
106240,파인테크닉스
068050,팬엔터테인먼트
087010,펩트론
007330,푸른저축은행
237750,피앤씨테크
319660,피에스케이
137400,피엔티
291810,핀텔
163730,핑거
446750,하나26호스팩
418170,하나금융22호스팩
067310,하나마이크론
365590,하이딥
450050,하이제8호스팩
221840,하이즈항공
025770,한국정보통신
021650,한국큐빅
037230,한국팩키지
030520,한글과컴퓨터
052600,한네트
092460,한라IMS
024740,한일단조
007770,한일화학
079170,한창산업
319400,현대무벡스
052260,현대바이오랜드
090710,휴림로봇
078590,휴림에이텍
